  -1.0000000e+01   8.0000000e+00
  -9.5000000e+00   8.2488839e+00
  -9.0000000e+00   8.7053571e+00
  -8.5000000e+00   9.3091518e+00
  -8.0000000e+00   1.0000000e+01
  -7.5000000e+00   1.0831473e+01
  -7.0000000e+00   1.1919643e+01
  -6.5000000e+00   1.3297991e+01
  -6.0000000e+00   1.5000000e+01
  -5.5000000e+00   1.7375710e+01
  -5.0000000e+00   2.0710227e+01
  -4.5000000e+00   2.4939631e+01
  -4.0000000e+00   3.0000000e+01
  -3.5000000e+00   3.6931818e+01
  -3.0000000e+00   4.6363636e+01
  -2.5000000e+00   5.7613636e+01
  -2.0000000e+00   7.0000000e+01
  -1.5000000e+00   8.8096591e+01
  -1.0000000e+00   1.1136364e+02
  -5.0000000e-01   1.3144886e+02
   0.0000000e+00   1.4000000e+02
   5.0000000e-01   1.3144886e+02
   1.0000000e+00   1.1136364e+02
   1.5000000e+00   8.8096591e+01
   2.0000000e+00   7.0000000e+01
   2.5000000e+00   5.7613636e+01
   3.0000000e+00   4.6363636e+01
   3.5000000e+00   3.6931818e+01
   4.0000000e+00   3.0000000e+01
   4.5000000e+00   2.4939631e+01
   5.0000000e+00   2.0710227e+01
   5.5000000e+00   1.7375710e+01
   6.0000000e+00   1.5000000e+01
   6.5000000e+00   1.3297991e+01
   7.0000000e+00   1.1919643e+01
   7.5000000e+00   1.0831473e+01
   8.0000000e+00   1.0000000e+01
   8.5000000e+00   9.3091518e+00
   9.0000000e+00   8.7053571e+00
   9.5000000e+00   8.2488839e+00
   1.0000000e+01   8.0000000e+00
